step,timestamp,temperature,humidity,co2,light_intensity,plant_height
398,2026-05-17 14:00:00,27.99,56.69,670.47,685.6,30.415
399,2026-05-17 15:00:00,27.82,57.29,695.51,504.08,30.486
400,2026-05-17 16:00:00,27.19,58.74,726.26,298.74,30.556
401,2026-05-17 17:00:00,26.22,60.87,761.69,112.17,30.621
402,2026-05-17 18:00:00,24.98,63.34,800.29,0.0,30.669
403,2026-05-17 19:00:00,23.55,66.6,849.32,0.67,30.719
404,2026-05-17 20:00:00,22.22,69.73,850.32,0.0,30.769
405,2026-05-17 21:00:00,20.49,73.42,850.76,1.47,30.819
406,2026-05-17 22:00:00,19.01,76.77,847.66,1.99,30.87
407,2026-05-17 23:00:00,17.79,79.5,848.78,0.0,30.918
408,2026-05-18 00:00:00,16.81,81.43,850.28,1.36,30.958
409,2026-05-18 01:00:00,16.07,82.9,850.01,0.0,30.99
410,2026-05-18 02:00:00,15.89,83.28,847.59,0.81,31.021
411,2026-05-18 03:00:00,16.09,82.76,849.88,1.46,31.054
412,2026-05-18 04:00:00,16.79,81.33,849.49,1.59,31.093
413,2026-05-18 05:00:00,17.8,79.28,849.76,0.0,31.142
414,2026-05-18 06:00:00,19.03,76.34,800.75,0.16,31.19
415,2026-05-18 07:00:00,20.63,73.25,761.07,114.17,31.256
416,2026-05-18 08:00:00,22.09,69.9,725.22,300.52,31.335
417,2026-05-18 09:00:00,23.57,66.48,693.84,503.42,31.422
418,2026-05-18 10:00:00,25.01,63.47,669.87,683.02,31.513
419,2026-05-18 11:00:00,26.32,60.72,654.39,806.58,31.602
420,2026-05-18 12:00:00,27.08,58.41,649.46,851.54,31.685
421,2026-05-18 13:00:00,27.75,57.35,654.57,807.24,31.76
422,2026-05-18 14:00:00,27.99,56.93,669.56,683.07,31.832
423,2026-05-18 15:00:00,27.69,57.17,692.68,505.93,31.903
424,2026-05-18 16:00:00,27.16,58.92,723.26,300.77,31.973
425,2026-05-18 17:00:00,26.16,60.59,761.32,109.01,32.036
426,2026-05-18 18:00:00,25.02,63.69,799.55,0.32,32.085
427,2026-05-18 19:00:00,23.63,66.56,849.42,0.0,32.134
428,2026-05-18 20:00:00,22.05,69.98,848.99,0.16,32.184
429,2026-05-18 21:00:00,20.4,73.34,850.61,0.0,32.233
430,2026-05-18 22:00:00,19.08,76.39,849.34,2.4,32.283
431,2026-05-18 23:00:00,17.84,79.35,849.06,0.0,32.331
432,2026-05-19 00:00:00,16.81,81.44,849.91,0.0,32.37
433,2026-05-19 01:00:00,16.19,82.53,849.48,1.14,32.404
434,2026-05-19 02:00:00,15.9,83.17,849.18,0.14,32.434
435,2026-05-19 03:00:00,16.18,82.97,850.51,0.0,32.467
436,2026-05-19 04:00:00,16.85,81.32,849.42,0.39,32.506
437,2026-05-19 05:00:00,17.72,79.47,849.23,0.0,32.554
438,2026-05-19 06:00:00,18.95,76.52,801.1,0.79,32.602
439,2026-05-19 07:00:00,20.58,73.76,760.15,112.01,32.667
440,2026-05-19 08:00:00,21.91,69.88,724.37,299.2,32.745
441,2026-05-19 09:00:00,23.47,66.56,692.72,506.47,32.832
442,2026-05-19 10:00:00,24.93,63.82,669.64,685.13,32.922
443,2026-05-19 11:00:00,26.15,60.92,656.23,807.3,33.012
444,2026-05-19 12:00:00,27.1,58.6,648.88,851.83,33.094
445,2026-05-19 13:00:00,27.86,57.26,652.67,805.7,33.168
446,2026-05-19 14:00:00,28.05,56.98,671.21,683.05,33.238
447,2026-05-19 15:00:00,27.82,57.4,692.28,505.4,33.308
448,2026-05-19 16:00:00,27.22,58.52,723.15,300.11,33.377
449,2026-05-19 17:00:00,26.22,60.64,760.61,111.37,33.439
450,2026-05-19 18:00:00,25.0,63.47,799.7,0.0,33.487
451,2026-05-19 19:00:00,23.56,66.3,850.48,0.0,33.536
452,2026-05-19 20:00:00,22.0,70.14,848.05,0.0,33.585
453,2026-05-19 21:00:00,20.47,73.42,850.17,0.0,33.634
454,2026-05-19 22:00:00,19.05,76.74,850.48,0.0,33.683
455,2026-05-19 23:00:00,17.6,79.45,851.22,0.81,33.73
456,2026-05-20 00:00:00,16.74,81.53,850.86,1.95,33.769
457,2026-05-20 01:00:00,16.14,82.72,850.75,0.07,33.801
458,2026-05-20 02:00:00,15.92,83.26,850.58,0.11,33.831
459,2026-05-20 03:00:00,16.22,82.71,851.48,0.0,33.864
460,2026-05-20 04:00:00,16.76,81.43,850.88,0.0,33.903
461,2026-05-20 05:00:00,17.66,79.03,850.03,0.0,33.95
462,2026-05-20 06:00:00,18.97,76.7,799.36,0.29,33.998
463,2026-05-20 07:00:00,20.42,73.52,761.65,111.06,34.061
464,2026-05-20 08:00:00,21.99,70.16,725.39,298.77,34.139
465,2026-05-20 09:00:00,23.6,66.42,695.35,506.69,34.225
466,2026-05-20 10:00:00,25.02,63.42,669.89,685.89,34.314
467,2026-05-20 11:00:00,26.21,60.7,655.98,806.23,34.403
468,2026-05-20 12:00:00,27.15,58.39,648.94,847.71,34.484
469,2026-05-20 13:00:00,27.85,57.52,656.54,804.9,34.557
470,2026-05-20 14:00:00,28.05,57.01,669.64,685.17,34.627
471,2026-05-20 15:00:00,27.64,57.29,692.87,505.66,34.698
472,2026-05-20 16:00:00,27.08,58.65,726.02,299.54,34.767
473,2026-05-20 17:00:00,26.16,60.34,760.91,111.19,34.83
474,2026-05-20 18:00:00,24.88,63.47,799.55,0.0,34.877
475,2026-05-20 19:00:00,23.51,66.74,850.6,0.0,34.926
476,2026-05-20 20:00:00,22.05,69.83,850.03,0.18,34.974
477,2026-05-20 21:00:00,20.41,73.48,849.22,0.64,35.023
478,2026-05-20 22:00:00,19.04,76.16,851.19,0.0,35.072
479,2026-05-20 23:00:00,17.71,79.49,849.68,0.0,35.119
480,2026-05-21 00:00:00,16.72,81.59,848.08,1.41,35.156
481,2026-05-21 01:00:00,16.2,82.57,849.42,0.0,35.189
482,2026-05-21 02:00:00,16.06,83.31,848.28,0.0,35.22
483,2026-05-21 03:00:00,16.14,82.94,848.65,2.01,35.252
484,2026-05-21 04:00:00,16.8,81.26,849.32,0.0,35.29
485,2026-05-21 05:00:00,17.66,79.35,848.77,0.0,35.337
486,2026-05-21 06:00:00,18.97,76.33,799.25,0.0,35.384
487,2026-05-21 07:00:00,20.38,73.72,761.23,112.23,35.448
488,2026-05-21 08:00:00,21.87,69.9,725.22,299.24,35.525
489,2026-05-21 09:00:00,23.62,66.4,693.65,504.68,35.61
490,2026-05-21 10:00:00,25.01,63.3,669.83,684.74,35.698
491,2026-05-21 11:00:00,26.19,60.74,655.35,806.82,35.787
492,2026-05-21 12:00:00,27.16,58.69,649.76,849.62,35.867
493,2026-05-21 13:00:00,27.8,57.5,653.77,807.89,35.94
494,2026-05-21 14:00:00,27.86,56.83,671.67,685.65,36.011
495,2026-05-21 15:00:00,27.81,57.17,693.97,505.1,36.079
496,2026-05-21 16:00:00,27.14,58.52,725.2,299.56,36.147
497,2026-05-21 17:00:00,26.18,60.46,761.57,112.6,36.209
498,2026-05-21 18:00:00,25.02,63.54,800.09,0.49,36.257
499,2026-05-21 19:00:00,23.58,66.57,849.47,2.77,36.306
500,2026-05-21 20:00:00,21.97,69.9,850.43,0.31,36.354
501,2026-05-21 21:00:00,20.34,73.58,849.91,0.0,36.402
502,2026-05-21 22:00:00,19.09,76.69,848.74,2.22,36.451
503,2026-05-21 23:00:00,17.81,79.33,851.59,0.2,36.498
504,2026-05-22 00:00:00,16.8,81.33,850.58,0.6,36.536
505,2026-05-22 01:00:00,16.21,82.63,850.13,0.0,36.569
506,2026-05-22 02:00:00,15.9,82.98,850.57,0.0,36.599
507,2026-05-22 03:00:00,16.22,82.68,851.31,0.0,36.631
508,2026-05-22 04:00:00,16.85,81.37,850.11,0.92,36.67
509,2026-05-22 05:00:00,17.72,79.48,849.01,0.37,36.716
510,2026-05-22 06:00:00,19.07,76.7,801.92,0.0,36.763
511,2026-05-22 07:00:00,20.34,73.27,761.84,112.54,36.826
512,2026-05-22 08:00:00,22.01,69.83,725.77,298.99,36.903
513,2026-05-22 09:00:00,23.64,67.01,694.3,506.14,36.987
514,2026-05-22 10:00:00,24.96,63.13,669.49,683.67,37.075
515,2026-05-22 11:00:00,26.13,60.92,655.38,807.4,37.163
516,2026-05-22 12:00:00,27.17,58.54,650.96,849.96,37.242
517,2026-05-22 13:00:00,27.84,57.22,654.77,805.17,37.314
518,2026-05-22 14:00:00,27.85,56.76,670.15,683.43,37.384
519,2026-05-22 15:00:00,27.79,57.26,691.78,504.27,37.452
520,2026-05-22 16:00:00,27.23,58.63,723.85,300.72,37.519
521,2026-05-22 17:00:00,26.32,60.78,761.08,111.34,37.58
522,2026-05-22 18:00:00,24.95,63.47,800.2,0.79,37.627
523,2026-05-22 19:00:00,23.56,66.71,850.09,0.98,37.675
524,2026-05-22 20:00:00,22.07,69.88,848.19,1.93,37.723
525,2026-05-22 21:00:00,20.47,73.16,849.29,0.96,37.771
526,2026-05-22 22:00:00,18.98,76.52,851.4,0.0,37.819
527,2026-05-22 23:00:00,17.7,79.37,850.39,0.62,37.865
528,2026-05-23 00:00:00,16.87,81.46,850.49,0.0,37.903
529,2026-05-23 01:00:00,16.21,82.77,850.22,0.97,37.935
530,2026-05-23 02:00:00,16.04,83.21,849.19,0.08,37.965
531,2026-05-23 03:00:00,16.2,82.78,852.21,0.0,37.997
532,2026-05-23 04:00:00,16.84,81.59,850.1,2.92,38.035
533,2026-05-23 05:00:00,17.73,79.38,849.2,0.0,38.081
534,2026-05-23 06:00:00,19.02,76.73,800.32,1.57,38.128
535,2026-05-23 07:00:00,20.44,73.37,763.88,112.41,38.191
536,2026-05-23 08:00:00,21.95,69.9,724.06,301.69,38.267
537,2026-05-23 09:00:00,23.53,66.6,693.87,506.33,38.35
538,2026-05-23 10:00:00,24.94,63.24,670.32,685.79,38.437
539,2026-05-23 11:00:00,26.27,60.54,655.79,806.0,38.524
540,2026-05-23 12:00:00,27.16,58.43,651.3,850.79,38.602
541,2026-05-23 13:00:00,27.84,57.44,657.92,804.79,38.674
542,2026-05-23 14:00:00,27.94,56.71,669.25,683.69,38.743
543,2026-05-23 15:00:00,27.77,57.07,694.27,505.48,38.81
544,2026-05-23 16:00:00,27.23,58.64,725.6,300.05,38.877
545,2026-05-23 17:00:00,26.4,60.7,759.31,110.67,38.937
546,2026-05-23 18:00:00,24.87,63.4,799.88,0.0,38.983
547,2026-05-23 19:00:00,23.7,66.67,850.73,0.0,39.03
548,2026-05-23 20:00:00,21.93,70.01,850.17,0.0,39.078
549,2026-05-23 21:00:00,20.43,73.42,849.78,0.0,39.125
550,2026-05-23 22:00:00,18.96,76.57,850.09,0.76,39.173
551,2026-05-23 23:00:00,17.84,79.29,849.54,0.55,39.219
552,2026-05-24 00:00:00,16.85,81.37,850.79,1.22,39.257
553,2026-05-24 01:00:00,16.3,83.02,849.13,0.02,39.289
554,2026-05-24 02:00:00,16.0,83.19,849.35,0.0,39.319
555,2026-05-24 03:00:00,16.21,82.63,850.09,0.0,39.351
556,2026-05-24 04:00:00,16.72,81.47,850.15,0.72,39.388
557,2026-05-24 05:00:00,17.92,79.38,850.49,0.0,39.434
558,2026-05-24 06:00:00,18.9,76.84,799.08,0.0,39.481
559,2026-05-24 07:00:00,20.44,73.4,760.27,111.54,39.542
560,2026-05-24 08:00:00,22.09,69.88,723.61,301.7,39.618
561,2026-05-24 09:00:00,23.59,66.49,692.35,504.48,39.7
562,2026-05-24 10:00:00,25.0,63.57,669.06,684.93,39.787
563,2026-05-24 11:00:00,26.29,60.31,656.14,805.45,39.872
564,2026-05-24 12:00:00,27.22,58.61,651.08,850.69,39.95
565,2026-05-24 13:00:00,27.62,57.13,655.25,806.68,40.022
566,2026-05-24 14:00:00,28.04,56.92,670.7,684.77,40.09
567,2026-05-24 15:00:00,27.66,57.18,694.35,504.05,40.158
568,2026-05-24 16:00:00,27.24,58.7,725.13,296.69,40.223
569,2026-05-24 17:00:00,26.15,60.95,760.63,109.44,40.284
570,2026-05-24 18:00:00,25.09,63.4,801.1,0.35,40.33
571,2026-05-24 19:00:00,23.59,66.64,850.7,2.85,40.378
572,2026-05-24 20:00:00,22.07,69.76,850.45,1.43,40.425
573,2026-05-24 21:00:00,20.54,73.35,851.16,1.16,40.472
574,2026-05-24 22:00:00,19.19,76.49,849.49,0.0,40.519
575,2026-05-24 23:00:00,17.72,79.2,847.24,0.0,40.565
576,2026-05-25 00:00:00,16.83,81.36,851.94,0.02,40.602
577,2026-05-25 01:00:00,16.3,82.79,850.83,0.35,40.634
578,2026-05-25 02:00:00,16.1,83.21,850.5,0.46,40.664
579,2026-05-25 03:00:00,16.18,82.81,852.23,0.0,40.695
580,2026-05-25 04:00:00,16.84,81.62,851.14,0.01,40.732
581,2026-05-25 05:00:00,17.58,79.41,847.78,1.84,40.777
582,2026-05-25 06:00:00,19.01,76.75,799.1,0.0,40.823
583,2026-05-25 07:00:00,20.47,73.41,760.69,112.03,40.884
584,2026-05-25 08:00:00,22.21,70.13,726.05,301.58,40.959
585,2026-05-25 09:00:00,23.66,66.56,691.88,505.18,41.041
586,2026-05-25 10:00:00,25.06,63.25,669.92,684.17,41.126
587,2026-05-25 11:00:00,26.36,60.78,655.76,807.7,41.211
588,2026-05-25 12:00:00,27.19,58.6,648.81,847.27,41.288
589,2026-05-25 13:00:00,27.81,57.3,656.32,808.89,41.358
590,2026-05-25 14:00:00,28.12,56.65,669.74,685.64,41.425
591,2026-05-25 15:00:00,27.99,57.47,695.05,504.93,41.49
592,2026-05-25 16:00:00,27.13,58.69,723.9,300.22,41.556
593,2026-05-25 17:00:00,26.23,60.91,760.82,108.87,41.616
594,2026-05-25 18:00:00,25.04,63.3,800.04,0.0,41.661
595,2026-05-25 19:00:00,23.53,66.7,848.47,0.0,41.708
596,2026-05-25 20:00:00,22.05,69.91,848.39,0.84,41.755
597,2026-05-25 21:00:00,20.53,73.41,848.04,0.88,41.801
598,2026-05-25 22:00:00,18.88,76.65,849.11,0.0,41.848
599,2026-05-25 23:00:00,17.72,79.31,849.36,0.74,41.893
600,2026-05-26 00:00:00,16.77,81.58,850.28,0.0,41.929
601,2026-05-26 01:00:00,16.14,82.5,850.29,0.0,41.961
602,2026-05-26 02:00:00,15.82,83.12,849.1,1.97,41.989
603,2026-05-26 03:00:00,16.08,82.53,851.11,1.7,42.02
604,2026-05-26 04:00:00,16.75,81.34,850.62,0.0,42.057
605,2026-05-26 05:00:00,17.62,79.29,851.55,0.0,42.101
606,2026-05-26 06:00:00,19.01,76.77,802.11,0.0,42.147
607,2026-05-26 07:00:00,20.45,73.69,759.65,113.21,42.208
608,2026-05-26 08:00:00,21.92,70.02,724.76,299.32,42.282
609,2026-05-26 09:00:00,23.48,66.63,694.93,505.25,42.363
610,2026-05-26 10:00:00,25.01,63.49,669.12,685.96,42.448
611,2026-05-26 11:00:00,26.3,61.06,654.74,806.36,42.532
612,2026-05-26 12:00:00,27.25,58.69,649.46,849.5,42.608
613,2026-05-26 13:00:00,27.84,57.13,654.7,807.04,42.678
614,2026-05-26 14:00:00,28.07,56.71,668.25,682.64,42.744
615,2026-05-26 15:00:00,27.7,57.05,693.78,503.93,42.81
616,2026-05-26 16:00:00,27.14,58.45,724.56,302.17,42.875
617,2026-05-26 17:00:00,26.29,60.67,760.72,111.38,42.934
618,2026-05-26 18:00:00,25.02,63.49,799.09,0.05,42.98
619,2026-05-26 19:00:00,23.4,66.62,850.76,0.0,43.026
620,2026-05-26 20:00:00,22.14,69.87,850.22,0.0,43.072
621,2026-05-26 21:00:00,20.44,73.4,850.11,1.06,43.119
622,2026-05-26 22:00:00,19.1,76.6,850.82,0.0,43.165
623,2026-05-26 23:00:00,17.81,79.22,851.09,2.76,43.21
624,2026-05-27 00:00:00,16.79,81.1,849.45,1.54,43.248
625,2026-05-27 01:00:00,16.25,82.79,851.01,0.61,43.279
626,2026-05-27 02:00:00,16.09,83.34,851.52,0.45,43.308
627,2026-05-27 03:00:00,16.27,82.7,849.4,2.13,43.34
628,2026-05-27 04:00:00,16.82,81.55,850.12,0.0,43.376
629,2026-05-27 05:00:00,17.76,79.55,850.56,0.0,43.421
630,2026-05-27 06:00:00,18.98,76.87,799.79,0.0,43.466
631,2026-05-27 07:00:00,20.59,73.52,761.11,111.46,43.526
632,2026-05-27 08:00:00,22.08,69.92,726.15,301.2,43.6
633,2026-05-27 09:00:00,23.57,66.61,693.76,506.72,43.68
634,2026-05-27 10:00:00,24.94,63.16,670.71,685.83,43.765
635,2026-05-27 11:00:00,26.28,60.73,654.79,807.91,43.848
636,2026-05-27 12:00:00,27.19,58.5,649.69,852.53,43.924
637,2026-05-27 13:00:00,27.67,57.32,653.43,806.79,43.994
638,2026-05-27 14:00:00,27.97,56.49,670.49,684.56,44.06
639,2026-05-27 15:00:00,27.64,57.38,695.37,507.28,44.127
640,2026-05-27 16:00:00,27.22,58.58,726.33,302.62,44.191
641,2026-05-27 17:00:00,26.33,60.52,761.38,112.47,44.25
642,2026-05-27 18:00:00,24.86,63.47,802.27,0.8,44.295
643,2026-05-27 19:00:00,23.66,66.61,849.93,0.48,44.341
644,2026-05-27 20:00:00,21.94,69.86,851.27,1.72,44.387
645,2026-05-27 21:00:00,20.37,73.56,849.91,0.42,44.433
646,2026-05-27 22:00:00,19.03,76.75,850.08,1.76,44.479
647,2026-05-27 23:00:00,17.78,79.43,849.17,2.7,44.524
648,2026-05-28 00:00:00,16.84,81.54,848.39,0.0,44.56
649,2026-05-28 01:00:00,16.3,82.79,848.09,1.3,44.591
650,2026-05-28 02:00:00,15.96,83.41,849.91,0.26,44.62
651,2026-05-28 03:00:00,16.29,82.62,849.01,0.0,44.651
652,2026-05-28 04:00:00,16.87,81.23,848.33,1.03,44.688
653,2026-05-28 05:00:00,17.71,79.27,848.14,0.0,44.732
654,2026-05-28 06:00:00,19.0,76.74,799.23,2.07,44.777
655,2026-05-28 07:00:00,20.4,73.31,762.71,112.19,44.837
656,2026-05-28 08:00:00,21.96,69.98,726.35,302.35,44.91
657,2026-05-28 09:00:00,23.49,66.58,694.02,504.18,44.99
658,2026-05-28 10:00:00,25.0,63.4,671.24,686.55,45.073
659,2026-05-28 11:00:00,26.22,60.63,655.78,806.2,45.157
660,2026-05-28 12:00:00,27.24,58.56,649.03,848.8,45.231
661,2026-05-28 13:00:00,27.9,57.23,656.75,806.29,45.3
662,2026-05-28 14:00:00,28.02,57.16,669.04,682.67,45.366
663,2026-05-28 15:00:00,27.89,57.13,693.91,504.68,45.429
664,2026-05-28 16:00:00,27.22,58.43,724.82,301.08,45.493
665,2026-05-28 17:00:00,26.17,60.56,760.83,110.14,45.552
666,2026-05-28 18:00:00,24.97,63.42,799.6,0.0,45.596
667,2026-05-28 19:00:00,23.55,66.49,850.69,1.79,45.642
668,2026-05-28 20:00:00,21.97,70.07,849.76,0.46,45.687
669,2026-05-28 21:00:00,20.56,73.49,848.23,0.57,45.733
670,2026-05-28 22:00:00,19.09,76.57,851.0,0.0,45.778
671,2026-05-28 23:00:00,17.65,79.35,848.24,0.0,45.822
672,2026-05-29 00:00:00,16.9,81.15,848.72,0.0,45.859
673,2026-05-29 01:00:00,16.2,82.7,851.4,1.19,45.889
674,2026-05-29 02:00:00,16.04,83.22,850.39,0.0,45.918
675,2026-05-29 03:00:00,16.27,82.58,850.84,1.48,45.949
676,2026-05-29 04:00:00,16.82,81.41,850.4,0.0,45.985
677,2026-05-29 05:00:00,17.78,79.32,849.95,0.88,46.029
678,2026-05-29 06:00:00,18.99,76.43,799.86,0.08,46.074
679,2026-05-29 07:00:00,20.46,73.44,762.22,110.56,46.133
680,2026-05-29 08:00:00,22.01,70.19,723.27,300.74,46.205
681,2026-05-29 09:00:00,23.51,66.53,693.03,505.2,46.284
682,2026-05-29 10:00:00,25.14,63.21,668.93,683.41,46.367
683,2026-05-29 11:00:00,26.37,60.6,655.09,806.42,46.449
684,2026-05-29 12:00:00,27.13,58.53,652.46,851.74,46.524
685,2026-05-29 13:00:00,27.73,57.35,654.28,804.71,46.593
686,2026-05-29 14:00:00,28.08,56.97,671.14,684.45,46.657
687,2026-05-29 15:00:00,27.78,57.36,694.33,504.92,46.722
688,2026-05-29 16:00:00,27.07,58.59,726.08,299.02,46.786
689,2026-05-29 17:00:00,26.29,60.72,761.93,113.01,46.844
690,2026-05-29 18:00:00,24.95,63.16,799.47,1.11,46.888
691,2026-05-29 19:00:00,23.51,66.48,848.18,2.19,46.933
692,2026-05-29 20:00:00,22.06,70.12,850.97,0.72,46.979
693,2026-05-29 21:00:00,20.43,73.39,849.57,3.29,47.024
694,2026-05-29 22:00:00,19.04,76.53,850.47,0.0,47.069
695,2026-05-29 23:00:00,17.87,79.23,850.5,1.33,47.114
696,2026-05-30 00:00:00,16.83,81.45,850.01,0.0,47.15
697,2026-05-30 01:00:00,16.16,82.68,851.48,0.0,47.18
698,2026-05-30 02:00:00,15.94,83.12,851.1,0.84,47.208
699,2026-05-30 03:00:00,16.25,82.71,850.57,0.0,47.238
700,2026-05-30 04:00:00,16.78,81.58,850.87,0.0,47.273
701,2026-05-30 05:00:00,17.69,79.35,851.73,0.0,47.317
702,2026-05-30 06:00:00,19.02,76.39,799.37,0.0,47.361
703,2026-05-30 07:00:00,20.42,73.34,761.18,111.25,47.419
704,2026-05-30 08:00:00,21.89,70.12,725.75,301.57,47.491
705,2026-05-30 09:00:00,23.44,66.63,694.61,504.12,47.57
706,2026-05-30 10:00:00,25.0,63.38,671.94,687.44,47.652
707,2026-05-30 11:00:00,26.12,61.04,654.2,808.15,47.735
708,2026-05-30 12:00:00,27.27,58.42,650.49,849.87,47.808
709,2026-05-30 13:00:00,27.84,57.28,656.31,807.02,47.875
710,2026-05-30 14:00:00,27.99,56.96,670.68,685.95,47.94
711,2026-05-30 15:00:00,27.75,57.09,693.37,504.64,48.004
712,2026-05-30 16:00:00,27.26,58.71,724.84,302.31,48.066
713,2026-05-30 17:00:00,26.35,60.7,760.36,113.89,48.123
714,2026-05-30 18:00:00,25.0,63.42,799.66,0.0,48.167
715,2026-05-30 19:00:00,23.44,66.68,849.22,3.82,48.213
716,2026-05-30 20:00:00,21.92,69.81,850.51,1.91,48.258
717,2026-05-30 21:00:00,20.45,73.5,848.16,0.0,48.302
718,2026-05-30 22:00:00,18.92,76.32,850.12,0.0,48.347
719,2026-05-30 23:00:00,17.66,79.25,849.17,0.5,48.39
720,2026-05-31 00:00:00,16.83,81.57,850.75,1.43,48.425
721,2026-05-31 01:00:00,16.2,82.8,850.51,0.18,48.455
722,2026-05-31 02:00:00,15.97,83.15,849.18,0.53,48.483
723,2026-05-31 03:00:00,16.2,82.65,849.34,0.0,48.513
724,2026-05-31 04:00:00,16.88,81.44,849.14,1.01,48.549
725,2026-05-31 05:00:00,17.72,79.12,851.02,0.0,48.592
726,2026-05-31 06:00:00,18.97,76.61,801.14,0.03,48.636
727,2026-05-31 07:00:00,20.36,73.5,760.69,114.28,48.694
728,2026-05-31 08:00:00,22.0,69.66,725.36,302.95,48.765
729,2026-05-31 09:00:00,23.67,66.86,692.91,506.55,48.843
730,2026-05-31 10:00:00,24.95,63.43,668.82,684.23,48.925
731,2026-05-31 11:00:00,26.19,60.8,655.91,807.27,49.006
732,2026-05-31 12:00:00,27.09,58.52,649.25,851.09,49.08
733,2026-05-31 13:00:00,27.88,57.41,654.36,803.5,49.147
734,2026-05-31 14:00:00,27.87,57.01,669.69,684.1,49.212
735,2026-05-31 15:00:00,27.92,57.44,693.96,505.05,49.274
736,2026-05-31 16:00:00,27.19,58.6,726.6,301.05,49.337
737,2026-05-31 17:00:00,26.3,60.84,760.01,112.87,49.393
738,2026-05-31 18:00:00,24.98,63.02,797.87,0.0,49.437
739,2026-05-31 19:00:00,23.59,66.6,850.18,2.44,49.482
740,2026-05-31 20:00:00,21.9,70.0,850.3,0.0,49.526
741,2026-05-31 21:00:00,20.45,73.18,851.41,0.0,49.57
742,2026-05-31 22:00:00,19.15,76.6,851.03,0.0,49.615
743,2026-05-31 23:00:00,17.76,79.25,850.12,0.4,49.658
744,2026-06-01 00:00:00,16.75,81.41,849.39,2.87,49.693
745,2026-06-01 01:00:00,16.2,82.98,849.8,0.32,49.722
746,2026-06-01 02:00:00,15.9,83.13,850.21,1.98,49.75
747,2026-06-01 03:00:00,16.22,82.96,850.64,2.03,49.779
748,2026-06-01 04:00:00,16.8,81.79,849.51,0.0,49.814
749,2026-06-01 05:00:00,17.67,79.68,850.82,0.0,49.856
750,2026-06-01 06:00:00,19.09,76.7,801.97,0.0,49.899
751,2026-06-01 07:00:00,20.43,73.35,759.2,113.25,49.957
752,2026-06-01 08:00:00,21.98,70.11,727.36,300.08,50.028
753,2026-06-01 09:00:00,23.52,66.6,694.92,504.7,50.105
754,2026-06-01 10:00:00,24.95,63.56,670.47,682.48,50.186
755,2026-06-01 11:00:00,26.15,60.89,655.51,805.97,50.267
756,2026-06-01 12:00:00,27.18,58.57,650.74,848.3,50.34
757,2026-06-01 13:00:00,27.73,57.29,655.01,807.64,50.407
758,2026-06-01 14:00:00,27.91,56.85,671.19,685.65,50.471
759,2026-06-01 15:00:00,27.81,57.24,693.1,505.32,50.533
760,2026-06-01 16:00:00,27.29,58.55,724.11,299.91,50.594
761,2026-06-01 17:00:00,26.26,60.61,761.66,112.57,50.651
762,2026-06-01 18:00:00,25.07,63.61,801.0,0.0,50.694
763,2026-06-01 19:00:00,23.49,66.57,849.55,0.0,50.738
764,2026-06-01 20:00:00,21.97,69.93,849.33,0.0,50.782
765,2026-06-01 21:00:00,20.54,73.45,852.47,0.21,50.826
766,2026-06-01 22:00:00,18.98,76.6,850.26,0.54,50.87
767,2026-06-01 23:00:00,17.91,79.21,850.86,0.26,50.913
768,2026-06-02 00:00:00,16.69,81.55,851.27,0.0,50.947
769,2026-06-02 01:00:00,16.2,82.49,848.74,1.31,50.977
770,2026-06-02 02:00:00,15.97,83.03,850.23,0.0,51.005
771,2026-06-02 03:00:00,16.17,82.86,848.84,0.0,51.034
772,2026-06-02 04:00:00,16.82,81.58,851.24,0.0,51.068
773,2026-06-02 05:00:00,17.83,79.22,851.83,0.0,51.111
774,2026-06-02 06:00:00,19.1,76.5,802.01,0.74,51.154
775,2026-06-02 07:00:00,20.37,73.34,761.96,113.24,51.212
776,2026-06-02 08:00:00,21.99,70.01,725.76,300.69,51.282
777,2026-06-02 09:00:00,23.46,66.46,694.17,506.93,51.359
778,2026-06-02 10:00:00,25.12,63.52,670.38,685.97,51.439
779,2026-06-02 11:00:00,26.19,60.64,654.29,805.37,51.519
780,2026-06-02 12:00:00,27.22,58.6,650.69,850.68,51.591
781,2026-06-02 13:00:00,27.81,57.33,655.07,807.44,51.657
782,2026-06-02 14:00:00,27.95,56.86,670.76,684.2,51.72
783,2026-06-02 15:00:00,27.8,57.16,693.41,504.01,51.782
784,2026-06-02 16:00:00,27.29,58.73,725.54,302.99,51.843
785,2026-06-02 17:00:00,26.23,61.12,760.95,112.24,51.899
786,2026-06-02 18:00:00,24.97,63.46,800.84,0.0,51.942
787,2026-06-02 19:00:00,23.69,66.62,850.27,0.0,51.985
788,2026-06-02 20:00:00,22.03,69.98,849.39,0.0,52.029
789,2026-06-02 21:00:00,20.65,73.38,848.54,0.0,52.072
790,2026-06-02 22:00:00,19.0,76.68,850.55,0.85,52.116
791,2026-06-02 23:00:00,17.71,79.38,849.12,0.0,52.158
792,2026-06-03 00:00:00,16.74,81.25,851.06,0.86,52.193
793,2026-06-03 01:00:00,16.28,82.76,850.78,0.0,52.222
794,2026-06-03 02:00:00,16.06,83.23,850.63,0.48,52.25
795,2026-06-03 03:00:00,16.13,82.53,849.29,0.71,52.279
796,2026-06-03 04:00:00,16.86,81.23,849.02,0.0,52.314
